BBOalert
Error *00{Regres}=NYYYYYY----------------   Strong pass system  ----------------- Pass=13+HcP,ANY, 1!D=0-7HcP,ANY 1!C=8-12HcP,All hands w/shortage. Other openings 8-12HcP. Normal preempts.                                ------------------   ASKING/SLAM   --------------------- CAB, TAB, DELTA, RKCB 14/03                              --------------   www.bridgeFILES.net   ----------------|,Rd,Please read chat#----------------   Strong pass system  ----------------- Pass
Option,Opening @1
1C2N--3H--,4S,MAXIMUM; 3-0-5-5
1C,2S,6-11HcP; 5!S + a minor
1C2SDb,2N,ASK minor
1C2SDb,3C,Pass/correct
1C2SDb,3D,Pass/correct
1C2SDb,3S,Preempt
1C2SDb,4S,Signoff
1C2SDb,--,To play
1C2SDb,Rd,To play
1C2S--,2N,ASK minor
1C2S--,3C,Pass/correct
1C2S--,3D,Pass/correct
1C2S--,3S,Preempt
1C2S--,4S,Signoff
1C2S--,--,To play
1C,Db,Takeout
1C----,1N,Please read chat#11-14HcP; semi-balanced. No stop promised
1D,1H,8-15HcP; 5+!H; Round
1D,1N,8-15HcP; 5+!C  +  a 4card MAJOR
1D,1S,8-15HcP; 5+!S; Round
1D,2C,8-15HcP; 6+!C; NF
1D,2D,Michael's CUE
1D,2H,8-15HcP; 6+!H; NF
1D,2N,2 lowest unbid
1D,2S,8-15HcP; 6+!S; NF
1D,3D,GF; ANY
1D,Db,Takeout
1D----,1H,11-16HcP; 5+!H; good hand
1D----,1S,11-16HcP; 5+!S; good hand
1D----,2C,11-16HcP; 5+!C; good hand
1H,1N,8-15HcP; 4!S   +   a 5+card minor
1H,1S,8-15HcP; 5+!S; Round
1H,2C,8-15HcP; 6+!C; NF
1H,2D,8-15HcP; 6+!D; NF
1H,2H,Michael's CUE
1H,2N,2 lowest unbid
1H,2S,8-15HcP; 6+!S; NF
1H,3H,GF; ANY
1H,Db,Takeout
1H----,1H,11-16HcP; 5+!H; good hand
1H----,1S,11-16HcP; 5+!S; good hand
1H----,2C,11-16HcP; 5+!C; good hand
1H----,2D,11-16HcP; 5+!D; good hand
1N,2C,2-suiter; 4+!C  +  5card MAJOR
1N,2D,2-suiter; 4+!D  +  5card MAJOR
1N,2H,5+!H
1N,2N,Minors
1N,2S,5+!S
1N,Db,14+HcP.  *5-4 MAJORs   *4M + 5m
1N--2C,Db,Values
1N----,2C,5-4 MAJORs; either longest
1N----,2D,6-11HcP; a 6card MAJOR
1N----2DDb,2H,Pass/correct
1N----2DDb,2N,ASK strength incl. fit
1N----2DDb2N--,3C,MAXIMUM; bad suit
1N----2DDb2N--,3D,Good suit
1N----2DDb2N--,3H,6!H; weak
1N----2DDb2N--,3N,Solid MAJOR
1N----2DDb2N--,3S,6!S; weak
1N----2DDb,2S,ASK short; No fit needed
1N----2DDb2S--,2N,No short or short other MAJOR
1N----2DDb2S--2N--,3C,ASK MAJOR
1N----2DDb2S--2N--3C--,3D,6!H; No short
1N----2DDb2S--2N--3C--,3H,6!H; 0-1!S
1N----2DDb2S--2N--3C--,3N,6!S; 0-1!H
1N----2DDb2S--2N--3C--,3S,6!S; No short
1N----2DDb2S--,3C,6!S; 0-1!C
1N----2DDb2S--,3D,6!H; 0-1!D
1N----2DDb2S--,3H,6!H; 0-1!C
1N----2DDb2S--,3S,6!S; 0-1!D
1N----2DDb,3D,Invite + fit
1N----2DDb,3H,Please read chat#Preempt in partners MAJOR. 3+!H  +  3+!S
1N----2DDb,4C,Give a trans
1N----2DDb4C--,4D,Trans -> !H
1N----2DDb4C--,4H,Trans -> !S
1N----2DDb,4D,Bid your suit
1N----2DDb4D--,4H,6!H; Signoff
1N----2DDb4D--,4S,6!S; Signoff
1N----2D--,2H,Pass/correct
1N----2D--,2N,ASK strength incl. fit
1N----2D--2N--,3C,MAXIMUM; bad suit
1N----2D--2N--,3D,Good suit
1N----2D--2N--,3H,6!H; weak
1N----2D--2N--,3N,Solid MAJOR
1N----2D--2N--,3S,6!S; weak
1N----2D--,2S,ASK short; No fit needed
1N----2D--2S--,2N,No short or short other MAJOR
1N----2D--2S--2N--,3C,ASK MAJOR
1N----2D--2S--2N--3C--,3D,6!H; No short
1N----2D--2S--2N--3C--,3H,6!H; 0-1!S
1N----2D--2S--2N--3C--,3N,6!S; 0-1!H
1N----2D--2S--2N--3C--,3S,6!S; No short
1N----2D--2S--,3C,6!S; 0-1!C
1N----2D--2S--,3D,6!H; 0-1!D
1N----2D--2S--,3H,6!H; 0-1!C
1N----2D--2S--,3S,6!S; 0-1!D
1N----2D--,3D,Invite + fit
1N----2D--,3H,Please read chat#Preempt in partners MAJOR. 3+!H  +  3+!S
1N----2D--,4C,Give a trans
1N----2D--4C--,4D,Trans -> !H
1N----2D--4C--,4H,Trans -> !S
1N----2D--,4D,Bid your suit
1N----2D--4D--,4H,6!H; Signoff
1N----2D--4D--,4S,6!S; Signoff
1N----,2H,4+!H  +  5card minor
1N----,2N,Minors
1N----,2S,4+!S  +  5card minor
1N----,Db,13+HcP; ANY
1S,1N,8-15HcP; 4!H   +   a 5+card minor
1S,2C,8-15HcP; 6+!C; NF
1S,2D,8-15HcP; 6+!D; NF
1S,2H,8-15HcP; 6+!H; NF
1S,2N,2 lowest unbid
1S,2S,Michael's CUE
1S,3S,GF; ANY
1S,Db,Takeout
1S----,1H,11-16HcP; 5+!H; good hand
1S----,1S,11-16HcP; 5+!S; good hand
1S----,2C,11-16HcP; 5+!C; good hand
1S----,2D,11-16HcP; 5+!D; good hand
1S----,2H,11-16HcP; 5+!H; good hand
2C,2D,5+!D
2C,2H,5+!H
2C,2N,ANY 2-suiter
2C,2S,5+!S
2C,Db,5+!C
2D,Db,Takeout
2H,Db,Takeout
2N,Db,Takeout
2S,Db,Takeout
3C,Db,Takeout
3D,Db,Takeout
3H,Db,Takeout
3N,Db,Takeout
3S,Db,Takeout
Option,Opening @2
1C,2C,Michael's CUE
1C,Db,Takeout
1D,2D,Michael's CUE
1D,Db,Takeout
1H,2H,Michael's CUE
1H,Db,Takeout
1S,2S,Michael's CUE
1S,Db,Takeout
Option,Opening @3
1C,2C,Michael's CUE
1C,Db,Takeout
1D,2D,Michael's CUE
1D,Db,Takeout
1H,2H,Michael's CUE
1H,Db,Takeout
1S,2S,Michael's CUE
1S,Db,Takeout
Option,Opening @1@2
1C1D,2D,Michaels CUE
1C1D,Db,Takeout
1C1H,2H,Michaels CUE
1C1H,Db,Takeout
1C1S,2S,Michaels CUE
1C1S,Db,Takeout
,1C,8-12HcP; Any hand with shortage
1CDb,1D,5+!D; NF
1CDb,1H,5+!H; NF
1CDb,1S,5+!S; NF
1CDb,--,3+!C; NF
1CDb,Rd,SOS; Takeout
1C--,1D,*16+HcP; ANY   *13+HcP; No 5card MAJOR
1C--1D--,1H,0-1!H; else ANY
1C--1D--1H--,1N,Balanced
1C--1D--1H--1N--,2C,Stayman
1C--1D--1H--,1S,ASK distrib
1C--1D--1H--1S--,1N,3-suiter. 4-1-4-4 or any 5440 
1C--1D--1H--1S--1N--,2C,ASK distrib
1C--1D--1H--1S--1N--2C--,2D,minimum; 4-1-4-4
1C--1D--1H--1S--1N--2C--,2H,4-0-4-5
1C--1D--1H--1S--1N--2C--2H--,2S,ASK range
1C--1D--1H--1S--1N--2C--,2N,minimum; 5-0-4-4
1C--1D--1H--1S--1N--2C--,2S,4-0-5-4
1C--1D--1H--1S--1N--2C--2S--,2N,ASK range
1C--1D--1H--1S--1N--2C--,3C,MAXIMUM; 5-0-4-4
1C--1D--1H--1S--1N--2C--,3D,MAXIMUM; 4-1-4-4
1C--1D--1H--1S--,2C,5+!C
1C--1D--1H--1S--2C--,2D,ASK distrib
1C--1D--1H--1S--2C--2D--,2N,Please read chat#2-suiter; !C+!D. *5-4; min/MAX  *6-4; min
1C--1D--1H--1S--2C--2D--2N--,3C,ASK distrib
1C--1D--1H--1S--2C--2D--2N--3C--,3D,min; 1-3-4-5
1C--1D--1H--1S--2C--2D--2N--3C--,3H,MAX; 3-1-4-5
1C--1D--1H--1S--2C--2D--2N--3C--,3N,min; 3-0-4-6
1C--1D--1H--1S--2C--2D--2N--3C--,3S,min; 2-1-4-6
1C--1D--1H--1S--2C--2D--,2S,6+!C; 1-suiter
1C--1D--1H--1S--2C--2D--2S--,2N,ASK distrib
1C--1D--1H--1S--2C--2D--2S--2N--,3C,min; 3-1-3-6
1C--1D--1H--1S--2C--2D--2S--2N--,3D,MAX; 3-1-3-6
1C--1D--1H--1S--2C--2D--2S--2N--,3H,min; 2-1-3-7; 3-1-2-7
1C--1D--1H--1S--2C--2D--2S--2N--,3N,MAX; 2-1-3-7; 3-1-2-7
1C--1D--1H--1S--2C--2D--2S--2N--,3S,min; 3-0-3-7
1C--1D--1H--1S--2C--2D--2S--2N--,4C,MAX; 3-0-3-7
1C--1D--1H--1S--2C--2D--,3C,Please read chat#2-suiter; !C+!S. *5-4; min/MAX  *6-4; min
1C--1D--1H--1S--2C--2D--3C--,3D,ASK distrib
1C--1D--1H--1S--2C--2D--3C--3D--,3H,min; 4-1-3-5
1C--1D--1H--1S--2C--2D--3C--3D--,3N,min; 4-1-2-6
1C--1D--1H--1S--2C--2D--3C--3D--,3S,MAX; 4-1-3-5
1C--1D--1H--1S--2C--2D--3C--3D--,4C,min; 4-0-3-6
1C--1D--1H--1S--2C--2D--,3D,MAXIMUM; 2-1-4-6
1C--1D--1H--1S--2C--2D--,3H,MAXIMUM; 4-1-2-6
1C--1D--1H--1S--2C--2D--,3N,MAXIMUM; 4-0-3-6
1C--1D--1H--1S--2C--2D--,3S,MAXIMUM; 3-0-4-6
1C--1D--1H--1S--2C--,3N,Signoff
1C--1D--1H--1S--2C--,4H,Signoff
1C--1D--1H--1S--2C--,4S,Signoff
1C--1D--1H--1S--2C--,5C,Signoff
1C--1D--1H--1S--2C--,5D,Signoff
1C--1D--1H--1S--,2D,5+!D
1C--1D--1H--1S--2D--,2H,ASK distrib
1C--1D--1H--1S--2D--2H--,2N,Please read chat#2-suiter; !C+!D. *5-4; min/MAX  *6-4; min
1C--1D--1H--1S--2D--2H--2N--,3C,ASK distrib
1C--1D--1H--1S--2D--2H--2N--3C--,3D,min; 3-1-5-4
1C--1D--1H--1S--2D--2H--2N--3C--,3H,MAX; 3-1-5-4
1C--1D--1H--1S--2D--2H--2N--3C--,3N,min; 3-0-6-4
1C--1D--1H--1S--2D--2H--2N--3C--,3S,min; 2-1-6-4
1C--1D--1H--1S--2D--2H--,2S,6+!D; 1-suiter
1C--1D--1H--1S--2D--2H--2S--,2N,ASK distrib
1C--1D--1H--1S--2D--2H--2S--2N--,3C,min; 3-1-6-3
1C--1D--1H--1S--2D--2H--2S--2N--,3D,MAX; 3-1-6-3
1C--1D--1H--1S--2D--2H--2S--2N--,3H,min; 3-1-7-2; 2-1-7-3
1C--1D--1H--1S--2D--2H--2S--2N--,3N,MAX; 3-1-7-2; 2-1-7-3
1C--1D--1H--1S--2D--2H--2S--2N--,3S,min; 3-0-7-3
1C--1D--1H--1S--2D--2H--2S--2N--,4C,MAX; 3-0-7-3
1C--1D--1H--1S--2D--2H--,3C,Please read chat#2-suiter; !D+!S. *5-4; min/MAX  *6-4; min
1C--1D--1H--1S--2D--2H--3C--,3D,ASK distrib
1C--1D--1H--1S--2D--2H--3C--3D--,3H,min; 4-1-5-3
1C--1D--1H--1S--2D--2H--3C--3D--,3N,min; 4-1-6-2
1C--1D--1H--1S--2D--2H--3C--3D--,3S,MAX; 4-1-5-3
1C--1D--1H--1S--2D--2H--3C--3D--,4C,min; 4-0-6-3
1C--1D--1H--1S--2D--2H--,3D,MAXIMUM; 2-1-6-4
1C--1D--1H--1S--2D--2H--,3H,MAXIMUM; 4-1-6-2
1C--1D--1H--1S--2D--2H--,3N,MAXIMUM; 4-0-6-3
1C--1D--1H--1S--2D--2H--,3S,MAXIMUM; 3-0-6-4
1C--1D--1H--1S--2D--,3N,Signoff
1C--1D--1H--1S--2D--,4H,Signoff
1C--1D--1H--1S--2D--,4S,Signoff
1C--1D--1H--1S--2D--,5C,Signoff
1C--1D--1H--1S--2D--,5D,Signoff
1C--1D--1H--1S--,2H,5+!S + a 4card minor
1C--1D--1H--1S--2H--,2S,ASK distrib
1C--1D--1H--1S--2H--2S--,2N,Please read chat#2-suiter; !S+!C. *5-4; min/MAX  *6-4; min
1C--1D--1H--1S--2H--2S--2N--,3C,ASK distrib
1C--1D--1H--1S--2H--2S--2N--3C--,3D,min; 5-1-3-4
1C--1D--1H--1S--2H--2S--2N--3C--,3H,MAX; 5-1-3-4
1C--1D--1H--1S--2H--2S--2N--3C--,3N,min; 6-0-3-4
1C--1D--1H--1S--2H--2S--2N--3C--,3S,min; 6-1-2-4
1C--1D--1H--1S--2H--2S--,3C,Please read chat#2-suiter; !S+!D. *5-4; min/MAX  *6-4; min
1C--1D--1H--1S--2H--2S--3C--,3D,ASK distrib
1C--1D--1H--1S--2H--2S--3C--3D--,3H,min; 5-1-4-3
1C--1D--1H--1S--2H--2S--3C--3D--,3N,min; 6-1-4-2
1C--1D--1H--1S--2H--2S--3C--3D--,3S,MAX; 5-1-4-3
1C--1D--1H--1S--2H--2S--3C--3D--,4C,min; 6-0-4-3
1C--1D--1H--1S--2H--2S--,3D,MAXIMUM; 6-1-2-4
1C--1D--1H--1S--2H--2S--,3H,MAXIMUM; 6-1-4-2
1C--1D--1H--1S--2H--2S--,3N,MAXIMUM; 6-0-4-3
1C--1D--1H--1S--2H--2S--,3S,MAXIMUM; 6-0-3-4
1C--1D--1H--1S--2H--,3N,Signoff
1C--1D--1H--1S--2H--,4H,Signoff
1C--1D--1H--1S--2H--,4S,Signoff
1C--1D--1H--1S--2H--,5C,Signoff
1C--1D--1H--1S--2H--,5D,Signoff
1C--1D--1H--1S--,2N,5!C + 5!D
1C--1D--1H--1S--2N--,3C,ASK distrib
1C--1D--1H--1S--2N--3C--,3D,minimum; 2-1-5-5
1C--1D--1H--1S--2N--3C--,3H,minimum; 3-0-5-5
1C--1D--1H--1S--2N--3C--,3N,MAXIMUM; 3-0-5-5
1C--1D--1H--1S--2N--3C--,3S,MAXIMUM; 2-1-5-5
1C--1D--1H--1S--2N--,3N,Signoff
1C--1D--1H--1S--2N--,4H,Signoff
1C--1D--1H--1S--2N--,4S,Signoff
1C--1D--1H--1S--2N--,5C,Signoff
1C--1D--1H--1S--2N--,5D,Signoff
1C--1D--1H--1S--2N--,--,To play
1C--1D--1H--1S--,2S,6+!S; 1-suiter
1C--1D--1H--1S--2S--,2N,ASK distrib
1C--1D--1H--1S--2S--2N--,3C,minimum; 6-1-3-3
1C--1D--1H--1S--2S--2N--,3D,MAXIMUM; 6-1-3-3
1C--1D--1H--1S--2S--2N--,3H,minimum; 7-1-3-2; 7-1-2-3
1C--1D--1H--1S--2S--2N--,3N,MAXIMUM; 7-1-3-2; 7-1-2-3
1C--1D--1H--1S--2S--2N--,3S,minimum; 7-0-3-3
1C--1D--1H--1S--2S--2N--,4C,MAXIMUM; 7-0-3-3
1C--1D--1H--1S--2S--,3N,Signoff
1C--1D--1H--1S--2S--,4H,Signoff
1C--1D--1H--1S--2S--,4S,Signoff
1C--1D--1H--1S--2S--,5C,Signoff
1C--1D--1H--1S--2S--,5D,Signoff
1C--1D--1H--1S--2S--,--,To play
1C--1D--1H--1S--,3C,5!C + 5!S
1C--1D--1H--1S--3C--,3D,ASK distrib
1C--1D--1H--1S--3C--3D--,3H,minimum; 5-1-2-5
1C--1D--1H--1S--3C--3D--,3N,MAXIMUM; 5-1-2-5
1C--1D--1H--1S--3C--3D--,3S,minimum; 5-0-3-5
1C--1D--1H--1S--3C--3D--,4C,MAXIMUM; 5-0-3-5
1C--1D--1H--1S--3C--,3N,Signoff
1C--1D--1H--1S--3C--,4H,Signoff
1C--1D--1H--1S--3C--,4S,Signoff
1C--1D--1H--1S--3C--,5C,Signoff
1C--1D--1H--1S--3C--,5D,Signoff
1C--1D--1H--1S--3C--,--,To play
1C--1D--1H--1S--,3D,minimum; 5-1-5-2
1C--1D--1H--1S--,3H,minimum; 5-0-5-3
1C--1D--1H--1S--,3N,MAXIMUM; 5-0-5-3
1C--1D--1H--1S--,3S,MAXIMUM; 5-1-5-2
1C--1D--1H--,2C,5+!C
1C--1D--1H--,2D,5+!D
1C--1D--1H--,2H,6+!H
1C--1D--1H--,2N,Strong; invite
1C--1D--1H--,2S,5+!S
1C--1D--1H--,3N,Signoff
1C--1D--,1N,0-1!D; a 5card MAJOR
1C--1D--1N--,2C,ASK distrib
1C--1D--1N--2C--,2D,5+!H
1C--1D--1N--2C--2D--,2H,ASK distrib
1C--1D--1N--2C--2D--2H--,2N,Please read chat#2-suiter; !H + !C. 5-4; min/MAX  or 6-4;min
1C--1D--1N--2C--2D--2H--2N--,3C,ASK distrib
1C--1D--1N--2C--2D--2H--2N--3C--,3D,min; 3-5-1-4
1C--1D--1N--2C--2D--2H--2N--3C--,3H,MAX; 3-5-1-4
1C--1D--1N--2C--2D--2H--2N--3C--,3N,min; 4-6-0-3
1C--1D--1N--2C--2D--2H--2N--3C--,3S,min; 2-6-1-4
1C--1D--1N--2C--2D--2H--,2S,6+!H; 1-suiter
1C--1D--1N--2C--2D--2H--2S--,2N,ASK distrib
1C--1D--1N--2C--2D--2H--2S--2N--,3C,min; 3-6-1-3
1C--1D--1N--2C--2D--2H--2S--2N--,3D,MAX; 3-6-1-3
1C--1D--1N--2C--2D--2H--2S--2N--,3H,min; 3-7-1-2; 2-7-1-3
1C--1D--1N--2C--2D--2H--2S--2N--,3N,MAX; 3-7-1-2; 2-7-1-3
1C--1D--1N--2C--2D--2H--2S--2N--,3S,min; 3-7-0-3
1C--1D--1N--2C--2D--2H--2S--2N--,4C,MAX; 3-7-0-3
1C--1D--1N--2C--2D--2H--,3C,Please read chat#2-suiter; !H + !S. 5-4; min/MAX  or 6-4;min
1C--1D--1N--2C--2D--2H--3C--,3D,ASK distrib
1C--1D--1N--2C--2D--2H--3C--3D--,3H,min; 4-5-1-3
1C--1D--1N--2C--2D--2H--3C--3D--,3N,min; 4-6-1-2
1C--1D--1N--2C--2D--2H--3C--3D--,3S,MAX; 4-5-1-3
1C--1D--1N--2C--2D--2H--3C--3D--,4C,min; 4-6-0-3
1C--1D--1N--2C--2D--2H--,3D,4-5-0-4
1C--1D--1N--2C--2D--2H--3D--,3H,ASK range
1C--1D--1N--2C--2D--2H--3D--3H--,3N,MAXIMUM
1C--1D--1N--2C--2D--2H--3D--3H--,3S,minimum
1C--1D--1N--2C--2D--2H--,3H,MAXIMUM; 4-6-1-2
1C--1D--1N--2C--2D--2H--,3N,MAXIMUM; 2-6-1-4
1C--1D--1N--2C--2D--2H--,3S,MAXIMUM; 4-6-0-3
1C--1D--1N--2C--2D--2H--,4C,MAXIMUM; 3-6-0-4
1C--1D--1N--2C--,2H,*5+!S + 4!C    *5+!S + 4!H
1C--1D--1N--2C--2H--,2S,ASK distrib
1C--1D--1N--2C--2H--2S--,2N,Please read chat#2-suiter; !S + !C. 5-4; min/MAX  or 6-4;min
1C--1D--1N--2C--2H--2S--2N--,3C,ASK distrib
1C--1D--1N--2C--2H--2S--2N--3C--,3D,min; 5-3-1-4
1C--1D--1N--2C--2H--2S--2N--3C--,3H,MAX; 5-3-1-4
1C--1D--1N--2C--2H--2S--2N--3C--,3N,min; 6-3-0-4
1C--1D--1N--2C--2H--2S--2N--3C--,3S,min; 6-2-1-4
1C--1D--1N--2C--2H--2S--,3C,Please read chat#2-suiter; !H + !S. 5-4; min/MAX  or 6-4;min
1C--1D--1N--2C--2H--2S--3C--,3D,ASK distrib
1C--1D--1N--2C--2H--2S--3C--3D--,3H,min; 5-4-1-3
1C--1D--1N--2C--2H--2S--3C--3D--,3N,min; 6-4-1-2
1C--1D--1N--2C--2H--2S--3C--3D--,3S,MAX; 5-4-1-3
1C--1D--1N--2C--2H--2S--3C--3D--,4C,min; 6-4-0-3
1C--1D--1N--2C--2H--2S--,3D,3-suiter; 5-4-0-4
1C--1D--1N--2C--2H--2S--3D--,3H,ASK range
1C--1D--1N--2C--2H--2S--3D--3H--,3N,MAXIMUM
1C--1D--1N--2C--2H--2S--3D--3H--,3S,minimum
1C--1D--1N--2C--2H--2S--,3H,MAXIMUM; 6-2-1-4
1C--1D--1N--2C--2H--2S--,3N,MAXIMUM; 6-3-0-4
1C--1D--1N--2C--2H--2S--,3S,MAXIMUM; 6-4-1-2
1C--1D--1N--2C--2H--2S--,4C,MAXIMUM; 6-4-0-3
1C--1D--1N--2C--,2N,5!H + 5!C
1C--1D--1N--2C--2N--,3C,ASK distrib
1C--1D--1N--2C--2N--3C--,3D,min; 2-5-1-5
1C--1D--1N--2C--2N--3C--,3H,min; 3-5-0-5
1C--1D--1N--2C--2N--3C--,3N,MAX; 3-5-0-5
1C--1D--1N--2C--2N--3C--,3S,MAX; 2-5-1-5
1C--1D--1N--2C--,2S,6+!S; 1-suiter
1C--1D--1N--2C--2S--,2N,ASK distrib
1C--1D--1N--2C--2S--2N--,3C,min; 6-3-1-3
1C--1D--1N--2C--2S--2N--,3D,MAX; 6-3-1-3
1C--1D--1N--2C--2S--2N--,3H,min; 7-3-1-2; 7-2-1-3
1C--1D--1N--2C--2S--2N--,3N,MAX; 7-3-1-2; 7-2-1-3
1C--1D--1N--2C--2S--2N--,3S,min; 7-3-0-3
1C--1D--1N--2C--2S--2N--,4C,MAX; 7-3-0-3
1C--1D--1N--2C--,3C,5!S + 5!C
1C--1D--1N--2C--3C--,3D,ASK distrib
1C--1D--1N--2C--3C--3D--,3H,min; 5-2-1-5
1C--1D--1N--2C--3C--3D--,3N,MAX; 5-2-1-5
1C--1D--1N--2C--3C--3D--,3S,min; 5-3-0-5
1C--1D--1N--2C--3C--3D--,4C,MAX; 5-3-0-5
1C--1D--1N--2C--,3D,min; 5-5-1-2
1C--1D--1N--2C--,3H,min; 5-5-0-3
1C--1D--1N--2C--,3N,MAX; 5-5-0-3
1C--1D--1N--2C--,3S,MAX; 5-5-1-2
1C--1D--1N--,2D,Unlimited ask for 5card MAJOR
1C--1D--1N--,2H,Pass/correct
1C--1D--1N--,2N,Strong invite
1C--1D--1N--,2S,Pass/correct
1C--1D--1N--,3N,Signoff
1C--1D--1N--,4H,Pass/correct
1C--1D--1N--,4S,Pass/correct
1C--1D--,1S,0-1!S; else ANY
1C--1D--1S--,1N,ASK distrib
1C--1D--1S--1N--,2C,*5+!C   *1-4-4-4    *All 5440 dist
1C--1D--1S--1N--2C--,2D,ASK distrib
1C--1D--1S--1N--2C--2D--,2H,All 3-suiters 
1C--1D--1S--1N--2C--2D--2H--,2S,ASK distrib
1C--1D--1S--1N--2C--2D--2H--2S--,2N,min; 1-4-4-4
1C--1D--1S--1N--2C--2D--2H--2S--,3C,0-4-4-5
1C--1D--1S--1N--2C--2D--2H--2S--,3D,0-4-5-4
1C--1D--1S--1N--2C--2D--2H--2S--,3H,min; 0-5-4-4
1C--1D--1S--1N--2C--2D--2H--2S--,3N,MAX; 1-4-4-4
1C--1D--1S--1N--2C--2D--2H--2S--,3S,MAX; 0-5-4-4
1C--1D--1S--1N--2C--2D--,2N,Please read chat#2-suiter; !C + !D.  5-4; min/MAX or 6-4; min
1C--1D--1S--1N--2C--2D--2N--,3C,ASK distrib
1C--1D--1S--1N--2C--2D--2N--3C--,3D,min; 1-3-4-5
1C--1D--1S--1N--2C--2D--2N--3C--,3H,MAX; 1-3-4-5
1C--1D--1S--1N--2C--2D--2N--3C--,3N,min; 0-3-4-6
1C--1D--1S--1N--2C--2D--2N--3C--,3S,min; 1-2-4-6
1C--1D--1S--1N--2C--2D--,2S,6+!C; 1-suiter
1C--1D--1S--1N--2C--2D--2S--,2N,ASK distrib
1C--1D--1S--1N--2C--2D--2S--2N--,3C,min; 1-3-3-6
1C--1D--1S--1N--2C--2D--2S--2N--,3D,MAX; 1-3-3-6
