BBOalert
1C1D1H,2C,Fit for !D
1C1D1N,2C,Fit for !D
1C1D1S,2C,Fit for !D
1C1D2C,Db,Fit for !D
1C,1D,5+!D; maybe light
1C1DDb,2C,Fit for !D
1C1D--,2C,Fit for !D
1C1H1N,2C,Fit for !H
1C1H1S,2C,Fit for !H
1C1H2C,Db,Fit for !H
1C,1H,5+!H; maybe light
1C1HDb,2C,Fit for !H
1C1H--,2C,Fit for !H
Error *001C1N2C=YYYYYYYC08Stayman|1C1N,2C,Stayman
Error *001C1N4DP4HP4S=YNNYNYND01Exclusion RKCB in !H 03/14|1C1N4D--4H--,4S,Exclusion RKCB in !H 03/14
Error *001C1N4DP4HP5C=YNNYNYND01Exclusion RKCB in !H 03/14|1C1N4D--4H--,5C,Exclusion RKCB in !H 03/14
Error *001C1N4DP4HP5D=YNNYNYND08Exclusion RKCB in !H 03/14|1C1N4D--4H--,5D,Exclusion RKCB in !H 03/14
Error *001C1N4DP4HPP=NNNYNYYTo play|1C1N4D--4H--,--,To play
Error *001C1N4H=YNNNYYYA08Trans -> !S|1C1N,4H,Trans -> !S
Error *001C1N4HP4S=YNNNYYYC08Relay|1C1N4H--,4S,Relay
Error *001C1N4HP4SP4N=YNNNYYNDRKCB in !S 14/03|1C1N4H--4S--,4N,RKCB in !S 14/03
Error *001C1N4HP4SP5C=YNNNYYND01Exclusion RKCB in !S 03/14|1C1N4H--4S--,5C,Exclusion RKCB in !S 03/14
Error *001C1N4HP4SP5D=YNNNYYND08Exclusion RKCB in !S 03/14|1C1N4H--4S--,5D,Exclusion RKCB in !S 03/14
Error *001C1N4HP4SP5H=YNNNYYND01Exclusion RKCB in !S 03/14|1C1N4H--4S--,5H,Exclusion RKCB in !S 03/14
Error *001C1N4HP4SPP=NNNNYYYTo play|1C1N4H--4S--,--,To play
Error *001C1N4S=YYYYYYN7085!D332 distr., slam try|1C1N,4S,5!D332 distr.; slam try
1C,1N,15-18HcP; semi-balanced. 5!H!S/6!C!D OK
1C1S1N,2C,Fit for !S
1C1S2C,Db,Fit for !S
1C,1S,5+!S; maybe light
1C1SDb,2C,Fit for !S
1C1S--,2C,Fit for !S
1C2C2D,2N,ASK minor
1C2C2H,2N,ASK minor
1C2C2S,2N,ASK minor
1C,2C,Michael's CUE
1C2CDb,2N,ASK minor
1C2C--,2N,ASK minor
1C,2D,6+!D; weak
1C,2H,6+!H; weak
1C,2N,2 lower unbid
1C,2S,6+!S; weak
Error *001C3C3D=NYYYYYY008Stop here|1C3C,3D,Stop here
Error *001C3C3H=NYYYYYY008Stop here|1C3C,3H,Stop here
Error *001C3C3N=NYYYYYY0Stop !C|1C3C,3N,Stop !C
Error *001C3C3S=NYYYYYY008Stop here|1C3C,3S,Stop here
1C,3C,ASK stop
1C,Db,Takeout
1D1H1N,2D,Fit for !H
1D1H1S,2D,Fit for !H
1D1H2C,2D,Fit for !H
1D1H2D,Db,Fit for !H
1D,1H,5+!H; maybe light
1D1HDb,2D,Fit for !H
1D1H--,2D,Fit for !H
Error *001D1N2C=YYYYYYYC08Stayman|1D1N,2C,Stayman
Error *001D1N2CP2D=NYYYYYY208No 4card MAJOR|1D1N2C--,2D,No 4card MAJOR
Error *001D1N2CP2DP2H=NYYYYYY248Weak 4+!S  +  4+!H|1D1N2C--2D--,2H,Weak 4+!S  +  4+!H
Error *001D1N2CP2DP2N=NYYYYYY4Invite|1D1N2C--2D--,2N,Invite
Error *001D1N2CP2DP2S=YYYYYYN608Any Game Force|1D1N2C--2D--,2S,Any Game Force
Error *001D1N2CP2DP3C=NYYYYYY6585+!C, GF|1D1N2C--2D--,3C,5+!C; GF
Error *001D1N2CP2DP3D=NYYYYYY6585+!D, GF|1D1N2C--2D--,3D,5+!D; GF
Error *001D1N2CP2DP3H=NNNYYYY2445!S + 4!H|1D1N2C--2D--,3H,5!S + 4!H
Error *001D1N2CP2DP3HP3N=NNNYYYY22!S + 3!H|1D1N2C--2D--3H--,3N,2!S + 3!H
Error *001D1N2CP2DP3HP3NP4H=YNNNYYYA446!S + 4!H|1D1N2C--2D--3H--3N--,4H,6!S + 4!H
Error *001D1N2CP2DP3HP3S=NNNYYYY2333!S|1D1N2C--2D--3H--,3S,3!S
Error *001D1N2CP2DP3S=NYYYYYY2445!H + 4!S|1D1N2C--2D--,3S,5!H + 4!S
Error *001D1N2CP2DP3SP3N=NYYYYYY22!H + 3!S|1D1N2C--2D--3S--,3N,2!H + 3!S
Error *001D1N2CP2DP3SP3NP4D=YNNYNYYA006!H + 4!S|1D1N2C--2D--3S--3N--,4D,6!H + 4!S
Error *001D1N2CP2H=NYYYYYY2454+!H|1D1N2C--,2H,4+!H
Error *001D1N2CP2HP2N=NYYYYYY1Signoff|1D1N2C--2H--,2N,Signoff
Error *001D1N2CP2HP2S=NYYYYYY2444!S|1D1N2C--2H--,2S,4!S
Error *001D1N2CP2HP3D=NNNYNYY408Invite !H|1D1N2C--2H--,3D,Invite !H
Error *001D1N2CP2HP3DP3H=NNNYNYY244minimum|1D1N2C--2H--3D--,3H,minimum
Error *001D1N2CP2HP3DP3N=NNNYNYY25!H332|1D1N2C--2H--3D--,3N,5!H332
Error *001D1N2CP2HP3DP4H=NNNYNYY245MAXIMUM|1D1N2C--2H--3D--,4H,MAXIMUM
Error *001D1N2CP2HP3N=NYYYYYY1Signoff|1D1N2C--2H--,3N,Signoff
Error *001D1N2CP2HP3S=NNNYNYY508Fit + Singleton|1D1N2C--2H--,3S,Fit + Singleton
Error *001D1N2CP2HP3SP3N=YNNYNYYCASK short|1D1N2C--2H--3S--,3N,ASK short
Error *001D1N2CP2HP3SP3NP4C=NNNYNYY6010-1!C|1D1N2C--2H--3S--3N--,4C,0-1!C
Error *001D1N2CP2HP3SP3NP4D=NNNYNYY6010-1!D|1D1N2C--2H--3S--3N--,4D,0-1!D
Error *001D1N2CP2HP3SP3NP4H=NNNYNYY2440-1!S|1D1N2C--2H--3S--3N--,4H,0-1!S
Error *001D1N2CP2HP4C=YNNYNYND08RKCB 14/03 in !H|1D1N2C--2H--,4C,RKCB 14/03 in !H
Error *001D1N2CP2HP4D=NYYYYYN708Balanced slam try|1D1N2C--2H--,4D,Balanced slam try
Error *001D1N2CP2HP4H=NYYYYYY144Signoff|1D1N2C--2H--,4H,Signoff
Error *001D1N2CP2HPP=NYYYYYYTo play|1D1N2C--2H--,--,To play
Error *001D1N2CP2S=NYYYYYY2454+!S|1D1N2C--,2S,4+!S
Error *001D1N2CP2SP2N=NYYYYYY1Signoff|1D1N2C--2S--,2N,Signoff
Error *001D1N2CP2SP3D=NNNNYYY408Invite !S|1D1N2C--2S--,3D,Invite !S
Error *001D1N2CP2SP3DP3N=NNNNYYY25!S332|1D1N2C--2S--3D--,3N,5!S332
Error *001D1N2CP2SP3DP3S=NNNNYYY244minimum|1D1N2C--2S--3D--,3S,minimum
Error *001D1N2CP2SP3DP4S=NNNNYYY245MAXIMUM|1D1N2C--2S--3D--,4S,MAXIMUM
Error *001D1N2CP2SP3H=NNNNYYY624Fit + singleton|1D1N2C--2S--,3H,Fit + singleton
Error *001D1N2CP2SP3HP3N=YNNNYYYCASK short|1D1N2C--2S--3H--,3N,ASK short
Error *001D1N2CP2SP3HP3NP4C=NNNNYYY6010-1!C|1D1N2C--2S--3H--3N--,4C,0-1!C
Error *001D1N2CP2SP3HP3NP4D=NNNNYYY6010-1!D|1D1N2C--2S--3H--3N--,4D,0-1!D
Error *001D1N2CP2SP3HP3NP4H=NNNNYYY6111!H|1D1N2C--2S--3H--3N--,4H,1!H
Error *001D1N2CP2SP3HP3NP4S=NNNNYYY2440!H|1D1N2C--2S--3H--3N--,4S,0!H
Error *001D1N2CP2SP3HP3S=NNNNYYY244minimum|1D1N2C--2S--3H--,3S,minimum
Error *001D1N2CP2SP3HP3SP4C=NNNNYYY6010-1!C|1D1N2C--2S--3H--3S--,4C,0-1!C
Error *001D1N2CP2SP3HP3SP4D=NNNNYYY6010-1!D|1D1N2C--2S--3H--3S--,4D,0-1!D
Error *001D1N2CP2SP3HP3SP4H=NNNNYYY6111!H|1D1N2C--2S--3H--3S--,4H,1!H
Error *001D1N2CP2SP3HP3SP4S=NNNNYYY2440!H|1D1N2C--2S--3H--3S--,4S,0!H
Error *001D1N2CP2SP3HP3SPP=NNNNYYYTo play|1D1N2C--2S--3H--3S--,--,To play
Error *001D1N2CP2SP3N=NYYYYYY1Signoff|1D1N2C--2S--,3N,Signoff
Error *001D1N2CP2SP4C=YNNNYYND08RKCB 14/03 in !S|1D1N2C--2S--,4C,RKCB 14/03 in !S
Error *001D1N2CP2SP4D=YNNNYYN708Balanced slam try|1D1N2C--2S--,4D,Balanced slam try
Error *001D1N2CP2SP4S=NNNNYYY144Signoff|1D1N2C--2S--,4S,Signoff
Error *001D1N2CP2SPP=NYYYYYYTo play|1D1N2C--2S--,--,To play
Error *001D1N2D=YYYYYYYA08Trans -> !H. *5+!H   *Both minors|1D1N,2D,Trans -> !H. *5+!H   *Both minors
Error *001D1N2DP2H=NYYYYYYC232-3!H, Relay|1D1N2D--,2H,2-3!H; Relay
Error *001D1N2DP2HP2N=NYYYYYY55+!H  +  4+!C|1D1N2D--2H--,2N,5+!H  +  4+!C
Error *001D1N2DP2HP2S=YYYNNYY508Both minors. NOT !H|1D1N2D--2H--,2S,Both minors. NOT !H
Error *001D1N2DP2HP3C=NYYYYYY5085+!H  +  4+!D|1D1N2D--2H--,3C,5+!H  +  4+!D
Error *001D1N2DP2HP3D=NNNYNYY5086+!H, 1-suiter|1D1N2D--2H--,3D,6+!H; 1-suiter
Error *001D1N2DP2HP3N=NYYYYYY1Signoff|1D1N2D--2H--,3N,Signoff
Error *001D1N2DP2HP3S=NNNYNYY6015+!H, 0-1!S |1D1N2D--2H--,3S,5+!H; 0-1!S 
Error *001D1N2DP2HP4C=NNNYNYY6015+!H, 0-1!C |1D1N2D--2H--,4C,5+!H; 0-1!C 
Error *001D1N2DP2HP4D=NNNYNYY6015+!H, 0-1!D |1D1N2D--2H--,4D,5+!H; 0-1!D 
Error *001D1N2DP2HP4H=NNNYNYN708Balanced slam try|1D1N2D--2H--,4H,Balanced slam try
Error *001D1N2DP2HP4S=NYNNNYN7235!C332, slam try, NOT !H|1D1N2D--2H--,4S,5!C332; slam try; NOT !H
Error *001D1N2DP2S=YNNYNYY5084+!H, super-accept|1D1N2D--,2S,4+!H; super-accept
Error *001D1N2DP2SP2N=NYYYYYY55+!H  +  4+!C|1D1N2D--2S--,2N,5+!H  +  4+!C
Error *001D1N2DP2SP3C=NYYYYYY5085+!H  +  4+!D|1D1N2D--2S--,3C,5+!H  +  4+!D
Error *001D1N2DP2SP3D=NNNYNYY5086+!H, 1-suiter|1D1N2D--2S--,3D,6+!H; 1-suiter
Error *001D1N2DP2SP3N=NYYYYYY1Signoff|1D1N2D--2S--,3N,Signoff
Error *001D1N2DP2SP3S=NNNYNYY6015+!H, 0-1!S |1D1N2D--2S--,3S,5+!H; 0-1!S 
Error *001D1N2DP2SP4C=NNNYNYY6015+!H, 0-1!C |1D1N2D--2S--,4C,5+!H; 0-1!C 
Error *001D1N2DP2SP4D=NNNYNYY6015+!H, 0-1!D |1D1N2D--2S--,4D,5+!H; 0-1!D 
Error *001D1N2DP2SP4H=NNNYNYN708Balanced slam try|1D1N2D--2S--,4H,Balanced slam try
Error *001D1N2DP2SP4S=NYNNNYN7235!C332, slam try, NOT !H|1D1N2D--2S--,4S,5!C332; slam try; NOT !H
Error *001D1N2H=YYYYYYYA08Trans -> !S|1D1N,2H,Trans -> !S
Error *001D1N2HP2S=NYYYYYYC08Relay|1D1N2H--,2S,Relay
Error *001D1N2HP2SP2N=NYYYYYY55+!S  +  4+!C|1D1N2H--2S--,2N,5+!S  +  4+!C
